ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,10,85114000,11,386,MG,1,717600,4,9,191,Exportação
2020,2,48025592,10,589,SP,1,817800,756516,756516,505807,Exportação
2020,5,39031900,10,97,MG,7,147600,236,236,844,Exportação
2020,10,85119000,10,493,SP,0,817800,336,336,3036,Exportação
2020,1,39263000,10,169,SP,4,817700,5,5,291,Exportação
2020,7,20098921,10,149,CE,1,317900,44105,44105,31041,Exportação
2020,11,90172000,11,63,SP,7,1017500,541,122,2654,Exportação
2020,2,2032900,10,331,GO,0,927800,1000,1000,737,Exportação
2020,3,84834010,11,158,RS,7,1017500,59,768,12973,Exportação
2020,7,20058000,10,476,SP,12,817800,10,10,22,Exportação
2020,10,20058000,10,741,PR,0,917800,6,6,4,Exportação
2020,5,40169990,10,240,SP,4,817600,6,6,175,Exportação
2020,2,32089010,10,586,SP,7,147800,1900,1900,1984,Exportação
2020,2,73182100,10,249,SP,4,817700,1,1,261,Exportação
2020,7,27101210,10,246,RS,1,1017700,70,70,180,Exportação
2020,12,20021000,10,741,ES,0,727600,12,12,28,Exportação
2020,7,39123111,10,63,SP,1,817800,32600,32600,89720,Exportação
2020,5,7093000,10,476,SC,0,917800,59,59,35,Exportação
2020,5,19053200,10,741,ES,0,727600,14,14,24,Exportação
2020,3,73072900,10,573,RJ,1,717600,27,27,2001,Exportação
2020,6,19019090,10,850,AM,7,260151,641040,641040,2185494,Exportação
2020,3,84439199,11,589,PR,4,817600,1,3,1138,Exportação
2020,8,73202010,10,63,SP,0,817800,4445,4445,8744,Exportação
2020,9,61143000,11,676,RJ,4,717700,265,40,1312,Exportação
2020,3,85437020,11,845,MG,7,1017701,30,10,264,Exportação
2020,7,39021020,10,63,RJ,1,817800,148500,148500,136824,Exportação
2020,1,52010020,21,776,MG,1,817800,25,25314,36172,Exportação
2020,5,84369900,10,493,SP,1,817800,8,8,226,Exportação
2020,11,96190000,10,586,PR,7,917500,49780,49780,119133,Exportação
2020,3,59119000,10,158,PR,4,817600,45,45,2233,Exportação
2020,5,48025610,10,240,SP,1,817800,2344486,2344486,1618815,Exportação
2020,1,90318099,11,169,SP,0,817600,2,25,1170,Exportação
2020,7,21032010,10,169,ES,0,727600,24,24,12,Exportação
2020,11,33049990,10,169,SP,1,817800,9166,9166,193561,Exportação
2020,5,82130000,10,586,SP,7,917500,4,4,317,Exportação
2020,12,2071200,10,556,RS,1,927800,172125,172125,228380,Exportação
2020,9,7031019,10,538,SP,0,812051,137,137,186,Exportação
2020,9,76161000,10,69,SP,1,817800,0,0,31,Exportação
2020,9,7049000,10,351,ES,0,727600,967,967,408,Exportação
2020,8,38249939,10,586,SP,7,917500,2667,2667,16939,Exportação
2020,2,90303390,11,545,RS,1,1017700,12,0,9,Exportação
2020,10,27101992,10,63,SP,7,1017503,19,19,91,Exportação
2020,12,19059090,10,607,MG,1,817800,1471,1471,6443,Exportação
2020,10,2062990,10,351,GO,1,817800,709604,709604,1573459,Exportação
2020,6,19053100,10,249,MG,1,717600,1098,1098,2687,Exportação
2020,12,22089000,17,351,PR,0,917800,14,14,37,Exportação
2020,3,39012029,10,160,SP,1,817800,100000,100000,81300,Exportação
2020,9,84099929,11,23,SP,1,817800,7636,8772,187182,Exportação
2020,8,38089419,10,586,SP,7,917500,309132,309132,216125,Exportação
2020,11,84328000,11,586,SP,7,917500,114,14492,42101,Exportação
2020,1,7122000,10,301,MA,0,317903,57,57,76,Exportação
2020,4,74062000,10,820,SP,1,817800,3120,3120,34601,Exportação
2020,12,28492000,10,63,SP,7,1017500,41000,41000,70324,Exportação
2020,5,2071400,10,53,PR,1,917800,1026025,1026025,1794380,Exportação
2020,7,32082020,10,63,SP,7,1017500,12000,12000,48462,Exportação
2020,5,12099100,10,169,SP,4,817700,40,40,25427,Exportação
2020,8,38190000,10,493,SP,1,817800,0,0,158,Exportação
2020,2,40103200,10,169,SP,4,817700,4,4,242,Exportação
2020,7,11062000,10,249,PR,1,927700,678800,678800,723445,Exportação
2020,8,21039091,10,538,SP,0,717800,8,8,57,Exportação
2020,11,40169300,10,249,SC,0,817600,0,0,22,Exportação
2020,2,83023000,10,239,SP,1,817800,13,13,95,Exportação
2020,8,61124100,11,607,SP,4,817700,546,57,3237,Exportação
2020,2,61112000,11,53,SC,4,817700,90,15,177,Exportação
2020,10,90292010,11,97,SP,7,147600,8,3,487,Exportação
2020,10,87089990,10,573,PR,1,817800,314,314,2942,Exportação
2020,2,85011019,11,63,SP,0,1017503,363,375,7207,Exportação
2020,6,4029900,10,434,MA,0,317903,28,28,64,Exportação
2020,8,7089000,10,741,SP,0,817800,224,247,441,Exportação
2020,9,12119090,10,275,BA,1,517800,16000,16000,188429,Exportação
2020,5,68029390,10,586,ES,7,917500,115094,112416,21913,Exportação
2020,8,2023000,10,43,AM,0,227600,12,12,87,Exportação
2020,12,7089000,10,351,MA,0,317903,229,229,240,Exportação
2020,10,3074310,10,476,SP,0,817800,143,177,1149,Exportação
2020,10,84099130,11,63,SP,7,1017500,364,377,3295,Exportação
2020,12,40169300,10,158,PR,4,817700,0,0,247,Exportação
2020,4,44182000,10,249,SC,1,927700,2652395,2652795,5483255,Exportação
2020,2,84099999,10,87,SP,1,817800,2,2,699,Exportação
2020,10,84212990,11,158,SP,7,1017500,8069,3374,64642,Exportação
2020,12,83013000,10,434,SP,0,817800,2,2,190,Exportação
2020,7,39269090,10,580,SP,0,817700,4,4,131,Exportação
2020,7,8044000,10,137,SP,0,817800,20,21,24,Exportação
2020,5,39269090,10,275,SP,1,817800,33,33,1038,Exportação
2020,4,85021210,11,611,SP,1,817800,1,2000,24816,Exportação
2020,11,3073900,10,538,RJ,0,717800,10,10,78,Exportação
2020,9,48211000,10,23,SP,1,817800,26,26,30,Exportação
2020,7,40059190,10,169,SP,1,817800,3498,3498,24468,Exportação
2020,3,20098990,10,434,SC,0,927502,24,24,75,Exportação
2020,8,40103900,10,169,SP,4,817700,478,478,11374,Exportação
2020,8,8013200,10,249,CE,1,317900,364800,364800,2113013,Exportação
2020,10,85437019,11,169,SP,4,817700,1,1,86,Exportação
2020,9,60064300,10,586,SC,7,917500,440,440,2732,Exportação
2020,9,38160011,10,158,MG,7,1017500,14500,14500,9475,Exportação
